.model,AVG_MAE,AVG_RMSE,AVG_MAPE
ARIMA,0.0021664305821218594,0.002982185917696943,6.880781117264248
DRIFT,0.003048110232037196,0.004018493646862263,9.204215139330287
MEAN,0.0029949691457576626,0.0035194384454714303,8.55918849175067
SNAIVE,0.0021054028790581394,0.002746390111209598,7.763756887858402
TSLM,0.0017998754209561968,0.0022918019367418898,6.498102535088754
